   -1.56     0.53    -0.09     8.00
   -1.52     0.52    -0.31    14.00
   -1.53     0.52     0.14    16.00
   -1.52     0.52    -0.25    19.00
   -1.53     0.52     0.20    27.00
   -1.54     0.52     0.32     8.00
   -1.54     0.53    -0.09    11.00
   -1.51     0.51     0.37    18.00
   -1.54     0.52    -0.03    17.00
   -1.50     0.51     0.43    27.00
   -1.51     0.52    -0.43    35.00
   -9.13     3.13    -2.23    12.00
   -5.10     1.75    -0.28    10.00
   -5.10     1.75    -1.05     6.00
   -5.20     1.79     0.48    33.00
   -5.22     1.79    -0.87    34.00
   -5.01     1.72     0.65    13.00
   -1.55     0.53    -0.20    35.00
   -9.35     3.21    -0.86    12.00
   -5.01     1.72     1.03     9.00
   -5.21     1.79    -0.29     9.00
   -5.10     1.75     1.25    31.00
   -5.28     1.81    -0.10    34.00
   -4.88     1.67     1.38    13.00
   -1.57     0.54    -0.09     8.00
   -1.52     0.52    -0.31    12.00
   -1.54     0.53     0.14    16.00
   -1.52     0.53    -0.25    19.00
   -1.53     0.53     0.20    28.00
   -1.55     0.54     0.32     8.00
   -1.54     0.53    -0.09    13.00
   -1.51     0.52     0.37    16.00
   -1.55     0.54    -0.03    17.00
   -1.49     0.51     0.42    26.00
   -1.52     0.53    -0.43    34.00
   -5.21     1.81     0.10     1.00
   -9.15     3.18    -2.24    12.00
   -5.11     1.77    -0.28     7.00
   -5.12     1.78    -1.05    15.00
   -5.23     1.81     0.48    33.00
   -5.22     1.81    -0.87    34.00
   -5.02     1.74     0.65    13.00
   -1.58     0.55    -0.20    34.00
   -9.37     3.25    -0.87    12.00
   -5.03     1.74     1.03     7.00
   -5.21     1.81    -0.29    24.00
   -5.13     1.78     1.25    36.00
   -5.29     1.84    -0.10    34.00
   -4.88     1.69     1.38    13.00
   -1.57     0.55    -0.09     8.00
   -1.53     0.53    -0.32    14.00
   -1.53     0.53     0.14    16.00
   -1.54     0.54    -0.26    16.00
   -1.52     0.53     0.20    26.00
   -1.54     0.54     0.32     8.00
   -1.56     0.55    -0.09    14.00
   -1.51     0.53     0.37    15.00
   -1.55     0.54    -0.03    17.00
   -1.50     0.52     0.42    24.00
   -1.52     0.53    -0.43    34.00
   -5.21     1.83     0.10     1.00
   -9.15     3.21    -2.24     7.00
   -5.12     1.80    -0.28     6.00
   -5.14     1.80    -1.06    34.00
   -5.23     1.84     0.49    33.00
   -5.23     1.84    -0.88    33.00
   -4.99     1.75     0.65    14.00
   -1.57     0.55    -0.20    33.00
  -13.27     4.66    -1.23     7.00
   -5.03     1.77     1.04     3.00
   -5.24     1.84    -0.29    35.00
   -5.12     1.80     1.25    34.00
   -5.30     1.86    -0.10    33.00
   -4.87     1.71     1.38    13.00
   -1.58     0.56    -0.09     8.00
   -1.52     0.54    -0.31    12.00
   -1.54     0.54     0.14    16.00
   -1.53     0.54    -0.26    17.00
   -1.55     0.55     0.20    26.00
   -1.56     0.55     0.32     8.00
   -1.55     0.55    -0.09    14.00
   -1.52     0.54     0.37    18.00
   -1.55     0.55    -0.03    16.00
   -1.50     0.53     0.42    26.00
   -1.53     0.54    -0.43    33.00
   -5.20     1.85     0.10     1.00
  -12.95     4.60    -3.17     7.00
   -5.12     1.82    -0.28     2.00
   -5.15     1.83    -1.06    39.00
   -5.25     1.86     0.49    34.00
   -5.24     1.86    -0.88    32.00
   -5.00     1.77     0.65    13.00
   -1.58     0.56    -0.21    33.00
   -5.14     1.82     0.86     1.00
  -13.21     4.69    -1.23     7.00
   -5.05     1.79     1.04     1.00
   -5.24     1.86    -0.29    38.00
   -5.15     1.83     1.26    33.00
